
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                   25912 Console                    3    107,432 K
chrome.exe                    2660 Console                    3    119,556 K
conhost.exe                  12852 Console                    3      6,928 K
cmd.exe                      23428 Console                    3     12,488 K
svchost.exe                  25428 Services                   0     12,384 K
SnippingTool.exe             28208 Console                    3    128,480 K
dllhost.exe                   4924 Console                    3      7,620 K
smartscreen.exe              27396 Console                    3     10,524 K
Taskmgr.exe                  26952 Console                    3    136,516 K
svchost.exe                  13732 Services                   0     18,072 K
GameBar.exe                  22988 Console                    3    101,680 K
svchost.exe                  13672 Services                   0     18,828 K
svchost.exe                  17080 Console                    3     42,020 K
GameBarFTServer.exe          10348 Console                    3     24,540 K
RuntimeBroker.exe            26276 Console                    3     25,916 K
svchost.exe                   9388 Services                   0      9,240 K
XboxGameBarSpotify.exe       16924 Console                    3     54,140 K
RuntimeBroker.exe            12572 Console                    3     10,096 K
chrome.exe                   28216 Console                    3    134,076 K
chrome.exe                   27468 Console                    3     18,620 K
chrome.exe                   14756 Console                    3     83,128 K
chrome.exe                   25352 Console                    3    134,880 K
chrome.exe                   10124 Console                    3     27,880 K
Minecraft.exe                18140 Console                    3    133,968 K
Minecraft.exe                15300 Console                    3     98,988 K
GameBarPresenceWriter.exe    13272 Console                    3     18,120 K
Minecraft.exe                24716 Console                    3     31,372 K
Minecraft.exe                18512 Console                    3     37,812 K
Minecraft.exe                23584 Console                    3     42,232 K
Minecraft.exe                25420 Console                    3    129,456 K
Minecraft.exe                28180 Console                    3     30,804 K
svchost.exe                  17676 Services                   0     25,732 K
svchost.exe                  25772 Services                   0     20,796 K
tasklist.exe                  7688 Console                    3      9,316 K
conhost.exe                   8592 Console                    3     10,936 K
